Format,2.0A,
Memory Length,5000,
Trigger Level,0.00V,
Source,CH1,
Label, ,
Probe Ratio,1.000E+00,
Vertical Units,V,
Vertical Scale,5.000E-01,
Vertical Position,-5.000E-01,
Horizontal Units,S,
Horizontal Scale,1.000E+00,
Horizontal Position,0.000E+00,
Horizontal Mode,Roll Mode,
Sampling Period,2.000E-03,
Firmware,V1.18,
Time,29-Jun-15 15:03:31,
Mode,Detail,
Waveform Data,
-5.000000e+00,9.60e-01,
-4.998000e+00,1.02e+00,
-4.996000e+00,1.04e+00,
-4.994000e+00,1.00e+00,
-4.992000e+00,1.04e+00,
-4.990000e+00,9.80e-01,
-4.988000e+00,1.00e+00,
-4.986000e+00,9.40e-01,
-4.984000e+00,9.80e-01,
-4.982000e+00,9.40e-01,
-4.980000e+00,9.40e-01,
-4.978000e+00,1.00e+00,
-4.976000e+00,1.00e+00,
-4.974000e+00,9.40e-01,
-4.972000e+00,9.80e-01,
-4.970000e+00,9.20e-01,
-4.968000e+00,9.40e-01,
-4.966000e+00,9.00e-01,
-4.964000e+00,9.40e-01,
-4.962000e+00,9.00e-01,
-4.960000e+00,9.40e-01,
-4.958000e+00,9.00e-01,
-4.956000e+00,9.60e-01,
-4.954000e+00,9.00e-01,
-4.952000e+00,9.40e-01,
-4.950000e+00,9.00e-01,
-4.948000e+00,9.20e-01,
-4.946000e+00,8.60e-01,
-4.944000e+00,9.20e-01,
-4.942000e+00,8.80e-01,
-4.940000e+00,8.80e-01,
-4.938000e+00,9.40e-01,
-4.936000e+00,9.40e-01,
-4.934000e+00,9.00e-01,
-4.932000e+00,9.40e-01,
-4.930000e+00,9.00e-01,
-4.928000e+00,9.20e-01,
-4.926000e+00,8.80e-01,
-4.924000e+00,8.80e-01,
-4.922000e+00,9.40e-01,
-4.920000e+00,9.40e-01,
-4.918000e+00,9.00e-01,
-4.916000e+00,9.60e-01,
-4.914000e+00,9.20e-01,
-4.912000e+00,9.40e-01,
-4.910000e+00,9.00e-01,
-4.908000e+00,9.20e-01,
-4.906000e+00,8.80e-01,
-4.904000e+00,9.40e-01,
-4.902000e+00,9.00e-01,
-4.900000e+00,9.00e-01,
-4.898000e+00,9.80e-01,
-4.896000e+00,9.40e-01,
-4.894000e+00,1.00e+00,
-4.892000e+00,9.80e-01,
-4.890000e+00,1.04e+00,
-4.888000e+00,1.02e+00,
-4.886000e+00,1.10e+00,
-4.884000e+00,1.08e+00,
-4.882000e+00,1.26e+00,
-4.880000e+00,1.24e+00,
-4.878000e+00,1.58e+00,
-4.876000e+00,1.56e+00,
-4.874000e+00,1.76e+00,
-4.872000e+00,1.78e+00,
-4.870000e+00,1.70e+00,
-4.868000e+00,1.72e+00,
-4.866000e+00,1.56e+00,
-4.864000e+00,1.58e+00,
-4.862000e+00,1.38e+00,
-4.860000e+00,1.40e+00,
-4.858000e+00,1.18e+00,
-4.856000e+00,1.22e+00,
-4.854000e+00,1.04e+00,
-4.852000e+00,1.06e+00,
-4.850000e+00,9.20e-01,
-4.848000e+00,9.40e-01,
-4.846000e+00,8.20e-01,
-4.844000e+00,8.40e-01,
-4.842000e+00,7.80e-01,
-4.840000e+00,8.00e-01,
-4.838000e+00,7.60e-01,
-4.836000e+00,8.00e-01,
-4.834000e+00,7.60e-01,
-4.832000e+00,7.80e-01,
-4.830000e+00,7.40e-01,
-4.828000e+00,7.60e-01,
-4.826000e+00,7.20e-01,
-4.824000e+00,7.20e-01,
-4.822000e+00,7.80e-01,
-4.820000e+00,7.40e-01,
-4.818000e+00,8.20e-01,
-4.816000e+00,8.40e-01,
-4.814000e+00,8.00e-01,
-4.812000e+00,8.40e-01,
-4.810000e+00,8.00e-01,
-4.808000e+00,8.40e-01,
-4.806000e+00,8.00e-01,
-4.804000e+00,8.00e-01,
-4.802000e+00,8.80e-01,
-4.800000e+00,8.40e-01,
-4.798000e+00,9.00e-01,
-4.796000e+00,9.20e-01,
-4.794000e+00,8.80e-01,
-4.792000e+00,9.20e-01,
-4.790000e+00,8.80e-01,
-4.788000e+00,9.20e-01,
-4.786000e+00,8.60e-01,
-4.784000e+00,9.20e-01,
-4.782000e+00,8.80e-01,
-4.780000e+00,9.40e-01,
-4.778000e+00,9.00e-01,
-4.776000e+00,9.80e-01,
-4.774000e+00,9.20e-01,
-4.772000e+00,9.80e-01,
-4.770000e+00,9.40e-01,
-4.768000e+00,9.80e-01,
-4.766000e+00,9.40e-01,
-4.764000e+00,9.40e-01,
-4.762000e+00,1.02e+00,
-4.760000e+00,9.80e-01,
-4.758000e+00,1.04e+00,
-4.756000e+00,1.04e+00,
-4.754000e+00,1.00e+00,
-4.752000e+00,1.04e+00,
-4.750000e+00,9.80e-01,
-4.748000e+00,1.00e+00,
-4.746000e+00,9.40e-01,
-4.744000e+00,9.40e-01,
-4.742000e+00,1.00e+00,
-4.740000e+00,9.60e-01,
-4.738000e+00,1.02e+00,
-4.736000e+00,1.02e+00,
-4.734000e+00,9.80e-01,
-4.732000e+00,1.02e+00,
-4.730000e+00,9.60e-01,
-4.728000e+00,9.80e-01,
-4.726000e+00,9.40e-01,
-4.724000e+00,9.80e-01,
-4.722000e+00,9.40e-01,
-4.720000e+00,1.00e+00,
-4.718000e+00,9.60e-01,
-4.716000e+00,9.60e-01,
-4.714000e+00,1.02e+00,
-4.712000e+00,1.02e+00,
-4.710000e+00,9.80e-01,
-4.708000e+00,1.00e+00,
-4.706000e+00,9.60e-01,
-4.704000e+00,9.60e-01,
-4.702000e+00,1.04e+00,
-4.700000e+00,1.00e+00,
-4.698000e+00,1.06e+00,
-4.696000e+00,1.08e+00,
-4.694000e+00,1.04e+00,
